,id,content,
4242,1.45561E+18,"@wbcsd @PwC @Microsoft @abinbev @Philips High-carbon, polluting fossilfuel plastic/biomass 'waste' resources, 'supply chains'.
https://t.co/88Hr4Rx108
#COp26 #WBCSDatCOP #ClimateAction #netzero",Negative
1986,1.34974E+18,"Tracking the effects of glacial melting at the top of the world @Microsoft @UWMadison @icimod @Mila_Quebec  #SatelliteData #MachineLearning #ClimateChange
https://t.co/dL8togNqJ8",Neutral
4500,1.49119E+18,"Corporate VP Channel Sales and Channel Chief of @Microsoft, @rodneyc55 speaks on how the industry cloud platforms empower customers and partners to deliver on the energy transition.
#Energy #Sustainability https://t.co/TuSEIvAc3S https://t.co/N12Bw0auSr",Positive
1166,1.31095E+18,"@bp_plc and @Microsoft Partner to Drive Digital Energy #innovation and Advance #NetZero Carbon Goals https://t.co/RsAwoBo1sM  #SmartCities and clean cities, #cleanenergy parks, #consumer #energy and #IIoT  @Azure",Positive
1050,1.30796E+18,"Our interconnected world requires collective action - Microsoft on the Issues - @Microsoft https://t.co/QGVrPGKblg #sustainability #Tech4good

@AdamRogers2030 @Akwyz @debraruh @joconfino @amansinghcsr @davestangis @susanmcp1 @hjones_nike @timjmohin @marissar1",Positive
3186,1.40406E+18,"Here's why @Microsoft is sinking #data centres under the sea

#DigitalTransformation #BigData #ClimateChange 
@PawlowskiMario @JoannMoretti @MargaretSiegien @JolaBurnett @Shi4Tech @Dahl_Consult @Victoryabro @Hana_ElSayyed @segundoatdell @anand_narang @CurieuxExplorer @WSWMUC https://t.co/fmDPQhqLDp",Neutral
3482,1.42471E+18,"[Replay] This replay will demonstrate how @Microsoft  and @Citrix with their combined usage can help your company to seamlessly and securely connect its employees to their applications. 💻

👉https://t.co/4OJZ2PhhW8

#WVD #FlexibleWorkplace #Azure #Cloud #Security #Sustainability",Neutral
3442,1.42804E+18,"Through @Microsoft's innovative work at the Redmond Campus Project, its achieving its sustainability commitments and more.

Read all about it below! #BuiltWithOAC #Sustainability #Tech

https://t.co/tlBYaJv3qh",Positive
698,1.28632E+18,Join @Microsoft on August 4 @ 1PM ET for a complimentary #webcast that will explore the role of #forests in addressing #ClimateChange and how technology can make forest #carbon projects more credible. Register here: https://t.co/rySXk00Ecg https://t.co/6hI4JsnvHK,Positive
1438,1.31165E+18,"On 7 October join @WA_OIC (@SIFForum member) Insurance Commissioner @MikeKreidler at the #WAclimatesummit. His guests include @PresFawnSharp, reps from @Microsoft, @amazon, @Zurich @SironixEco, @UW, @HarvardEELP. Register here: https://t.co/PQpGX7p4VT 
#climatechange #climaterisk https://t.co/2PK5Ju4WbM",Neutral
3504,1.43137E+18,"@Pam_CEO @DukeEnergy @Accenture @Microsoft @Avanade We appreciate your partnership and commitment to #NetZero goals, @Pam_CEO! #Sustainable #Environment",Positive
4181,1.45605E+18,"The @TheAESCorp has partnered with @Microsoft to deliver #renewable #energy to the company's #datacenters in #Virginia. The agreement comes in support of Microsoft's 100/100/0 commitment. Read here! 👀
https://t.co/wytqMxLUbS",Positive
2693,1.3817E+18,Had a delivery from @Microsoft @microsoftcanada WOW they certainly do not care about the environment and packaging. I’m disgusted! #microsoft #environment #packaging  #environnement https://t.co/zIVpb3un5d,Negative
3171,1.40802E+18,"""Women are perfectly suited for this changing #environment. Not only are they good at #multitasking, they tend to be very good #listeners – and this quality is severely #underestimated.""- Anna Kopp, Head of IT and Regional Office Lead at @Microsoft  Munich Headquarters https://t.co/9P1WoVvNA1",Neutral
4298,1.47402E+18,"AVEVA and @Microsoft are accelerating industrial transformation. Our unique combination of capabilities help businesses capitalize on the power of technology to become more agile, resilient, and #sustainable. 

Read the case study to learn more https://t.co/eLqe8RJTQr #mspartner https://t.co/Fkyxz6phM6",Positive
2986,1.39183E+18,"Excited to hear forward thinking CEOs from industry leaders like @Microsoft and @ProcterGamble discussing the value of digital watermarks on packaging. Have a watch: 
#sustainability #digimarcplatform #digitalwatermarks #circulareconomy #holygrail2 

https://t.co/bioRAtG0c1",Positive
853,1.29275E+18,"#Inspire2020, @Microsoft's partner community event, is celebrating its 17th year digitally. Here are some of the exciting announcements about #technology, partnerships, and #sustainability goals. https://t.co/UgDvkfykGh https://t.co/cnwFqsSlhC",Positive
1727,1.34215E+18,"We have to make the most out of explosive data streams, says Wahid Ali. https://t.co/68czAwLHab #TPSS #IoT #sustainability #AI #cloud #edge #digitaltransformation #manufacturing #PeggySmedley #podcast #MicrosoftInfluencer .@Microsoft #AI",Positive
43,1.23462E+18,"AI presents endless opportunities, not only for partners but for everyone to benefit from improved societal impact and sustainability. @GretchenOHara shares her new role at @Microsoft to address these challenges. https://t.co/2C09uLlMsG #AI #Sustainability #MSUSPartner",Positive
492,1.27484E+18,Simplify the process of sending and receiving messages from the #cloud. Hear more from Pamela Cortez .@Azure https://t.co/4mDBni2BXT #TPSS #IoT #sustainability #AI #5G #cloud #edge #digitaltransformation #PeggySmedley .@Microsoft .@AltaOhms #podcast https://t.co/Xuht9MrPIA,Neutral
3433,1.42982E+18,Right-size inventory and #labor with #machinelearning. https://t.co/VpaoWbRF1Z #TPSS #transportation #IoT #futureofwork #sustainability #AI #5G #cloud #edge #digitaltransformation #PeggySmedley #podcast .@CloverImaging .@Microsoft .@CMichaelWalton #MicrosoftInfluencer,Neutral
3943,1.44608E+18,A new #green #cloud from @Microsoft will help companies track progress against carbon emission-reduction goals. @ZDNet #cdwsocial https://t.co/0V6HdE7psG https://t.co/QlTRsxp6AR,Positive
4397,1.48059E+18,Achieving #sustainability through collaboration &amp; the #IoT: https://t.co/gyCtnuF05R #AI #5G #cloud #edge #digitaltransformation #machinelearning @Black_Veatch @AVEVAGroup @ConEdison @elementanalytic @Microsoft @SkydioHQ https://t.co/5p9ZJf1gza,Positive
2323,1.37259E+18,There are real hurdles to creating immersive experiences. .@Microsoft is addressing these. https://t.co/FGzdxY326J #TPSS #MR #IoT #sustainability #AI #digitaltransformation #edge #cloud #futureofwork #PeggySmedley #MicrosoftIgnite #podcast https://t.co/GjINKHTPFQ,Positive
2978,1.39286E+18,CARBON WEBINAR: Ready to go net-zero? Start with decarbonizing buildings! Join VP #Sustainability @lisaconway215 @Microsoft @CarbonLeadForum on May 18 @ 1pm ET to learn how buildings &amp; material supply chains make an impact. https://t.co/PEllYYL6rP https://t.co/GZ7yLrbHBh,Positive
1588,1.32541E+18,"@nigewillson @Microsoft 👏👏👏👏👏
an amazing team work 
which will benefit us all 

#ai #artificialIntelligence #machinelearning #DeepLearning #Sustainability #plasticpollution",Neutral
2649,1.37974E+18,@Xbox @Microsoft seriously? Most vague and unintuitive instructions going but... only one set is in English... so much paper being wasted can’t be good for the Elite Series 2’s carbon footprint surely? #Sustainability https://t.co/6j7MXeV3aj,Negative
4512,1.4945E+18,"We’re working with @Microsoft to drive digital transformation in #energy and #manufacturing. See how enterprises can be more agile, resilient, and #sustainable with #cloud solutions, hosted by AVEVA’s Rob McGreevy and Microsoft’s Çağlayan Arkan https://t.co/HzV4MIsNe3&amp; #mspartner https://t.co/WWZeEz0nMo",Positive
1934,1.34937E+18,Walid Ali .@Microsoft joins me to talk about #sustainability and its importance. https://t.co/RXnsz0i79f #TPSS #IoT #AI #5G #cloud #edge #digitaltransformation #PeggySmedley #MicrosoftInfluencer https://t.co/PW9FNmRDvw,Positive
3124,1.4031E+18,".@Microsoft President, @Bradsmi, accepts the 2021 #WECGoldMedal Award presented for their outstanding work in #sustainability. https://t.co/CFyh0sKiE5",Positive
2290,1.3761E+18,#COVID19 #climatechange #energy #sustainability #GlobalWarming @omv @HSBCUAE @uniper_energy @Sharjahoil @MashreqTweets @Microsoft @BASF https://t.co/JB8SttrVtH,Neutral
87,1.23892E+18,"@Microsoft co-founder @BillGates is stepping down from the company's board to spend more time on #philanthropic #activities.

He says he wants to focus on #globalhealth and #development, education and tackling #climatechange. https://t.co/D5q6erUZAr https://t.co/CypPeqsuIw",Positive
669,1.27848E+18,"Keith MacKenzie, @Microsoft details the high tech company’s initiatives to foster #sustainability across the business in this #SAPPHIRENOW Converge session replay. Watch here https://t.co/AjI5hAQLIm https://t.co/awFvQYIOJT",Positive
1504,1.3135E+18,"Darryl Willis @Microsoft “In spite of #COVID challenges, companies, countries &amp; states are setting bold targets. It’s going to take all of us. We need to come together in new ways to tackle these new challenges.” Join us live https://t.co/p0Uts4BZeQ @erminsight #Climate",Neutral
1640,1.32334E+18,"This 👏 Is 👏 Big 👏
Alongside industry titans, @Microsoft, we’re excited to launch plans for a Global Centre for Regenerative Agriculture that brings together farmers &amp; #cleantech to fight #climatechange &amp; guarantee the safety of our food system.  #Azure https://t.co/SsTqYLJED9",Neutral
1732,1.34177E+18,"WATCH: This #webinar co-hosted with @Microsoft, explores ways for #LocalAuthorities to drive the #GreenRecovery through #technology. 

View the recording here: https://t.co/r9Fbyeorpf 

#BigData #AI #artificalintelligence #sustainability",Positive
855,1.29257E+18,"🙌🏿🙌🏼🙌🏽🙌🙌🏾 @Microsoft commits to achieve #zerowaste by 2030! Microsoft is investing $30 million in @LoopFund, an investor in #circulareconomy innovation!#Sustainability #StandUp4OurPlanet 💚🌎♻️ https://t.co/UpOGz6V2Kv",Positive
2590,1.38597E+18,"https://t.co/njLno5tsI7 @Microsoft 
#innovation #sustainability",Neutral
1600,1.32317E+18,"We’re proud to offer 100% renewable #energy as part of our #datacentre #sustainability commitments, so it’s interesting to learn how #hyperscale providers like @Google + @Microsoft utilise #renewables and green #energy in their strategies. https://t.co/MTEZ8hIbgm Via @dcdnews",Positive
804,1.28071E+18,@Google @amazon + @Microsoft make lucrative deals w/Big Oil to accelerate #climate destruction. Sign our demands + join fight at https://t.co/JbYNmeBV5g. #BigTechLovesBigOil#bigtechlovesbigoil https://t.co/fI7PfJzLvN,Positive
686,1.2889E+18,"@BillGates @Microsoft #ClimateChange is upcoming imp task after #COVID19
#GatesFoundation always top in holy activities
#GlobalWarming increasing per year
&amp; can beat by #1_person_1_tree need 2 start
#plant_a_tree campaign with togetherness🌱➡️🌳 i➡️➡️we
#celebrity must play catalyst role 4 #must_green https://t.co/OVGlcokF3e",Positive
2702,1.38704E+18,"The UK’s @metoffice and @Microsoft will build one of the world’s most powerful #Weather and #climate #Forecasting supercomputers. The data will be used to provide more accurate warnings of severe weather and model #climatechange.

Details: https://t.co/nm5toXS5Qa #MetTechExpo https://t.co/1WiPOlBnqO",Neutral
3499,1.42234E+18,"@Dell @Microsoft to donate to #ATSI #Aboriginal children #SDG4 #SDGs #sustainability 
#eduation
#auspol 
#NSWPol
https://t.co/YFWwAYLqi4
https://t.co/yhnPoasPkE",Neutral
4253,1.47439E+18,Driving innovation through open ecosystems. @sanrav @Microsoft gives his thoughts. https://t.co/tXuIMzSpLE #IoT #futureofwork #cloud #edge #digitaltransformation #PeggySmedley #Microsoftinfluencer #automotive #autonomous #EV #IIOT #mobility #sustainability #SDV https://t.co/sm6eLvYsyj,Neutral
151,1.23702E+18,"Energy company @RWE_UK is working with @Microsoft partner @AvanadeInc to implement a new @Azure infrastructure and @Office 365. The new system aims to help the firm compete in the changing #energy industry.

Full story on @tech_record ➡️ https://t.co/y3sCTLxrNX

#Implementation https://t.co/kjo5h2aLb0",Positive
940,1.29067E+18,"Apple Vows to go 100% Carbon-Neutral b... https://t.co/yFEnZtLvQd
            @apple @microsoft #carbonneutral #greenenergy #greenpower #psd https://t.co/GJHEpRkCrW",Neutral
3735,1.44052E+18,@Apple @Microsoft @blackrock @Disney @roundtablepnw Stop #greenwashing and support real #ClimateAction. #ClimateEmergency will cost you more than taxes; you were doing just fine before the disastrous #TrumpTaxCut. https://t.co/uiNZVhqlq7,Negative
709,1.28565E+18,.@microsoft @google @amazon and now @apple - it's beautiful to see our tech industry leading on #climatechange. Let's hope this sets an example for other industries and government #carbonneutral https://t.co/D82vepl6KG,Positive
1090,1.30194E+18,#WoM2M Tara Prakriya .@Microsoft help transform disruptive technology into practical opportunities for research. https://t.co/a3nHXHRzTA #IoT #sustainability #AI #5G #cloud #edge #digitaltransformation #futureofwork #womenintech #WomenInStem,Neutral
449,1.26193E+18,"@gulf_intel @wef @SchneiderEME @uniper_energy @Microsoft @Emerson_News @airproducts @IEA @Tesla ""The UAE has made significant improvements on both the current performance of its #energy system, as well as the readiness for energy transition"".-according to @wef World Economic Forum
#latestnews #oilandgas #economy #energy #covid19",Positive
3477,1.42488E+18,"When corporate #sustainability first started to make waves, @SchneiderElec &amp; @Microsoft  were the front runners. Our 30-year partnership reached a new peak! We received Microsoft’s 2021 Sustainability Changemaker Partner of the Year recognition.  https://t.co/4CtsbpNV8a https://t.co/rhdsMu5bGG",Positive
3438,1.42876E+18,"When corporate #sustainability first started to make waves, @SchneiderElec &amp; @Microsoft  were the front runners. Our 30-year partnership reached a new peak! We received Microsoft’s 2021 Sustainability Changemaker Partner of the Year recognition.  https://t.co/3KS6cG5J7Y https://t.co/L4y5fggCeW",Positive
1568,1.32703E+18,"Leveraging a mobile first strategy empowers workers, explains Neal Meldrum. https://t.co/QBXsJlop7T #TPSS #IoT #sustainability #AI #5G #cloud #edge #digitaltransformation #manufacturing #PeggySmedley #MicrosoftInfluencer .@Microsoft #podcast https://t.co/X7PMZbWfuE",Neutral
3318,1.41534E+18,"Today, @Microsoft is proud to unveil the Microsoft Cloud for Sustainability, especially relevant to #manufacturing.

By prioritizing #sustainability, the industry has an unparalleled opportunity to manufacture a cleaner, safer world for us all. #MSInspire https://t.co/jWDM4V98RQ",Positive
3261,1.42111E+18,"https://t.co/zjlu58RxWm
According to @dcfrontier , @Microsoft will work with utilities and industry partners to “lay the groundwork for a decarbonized grid."" 
#sustainability #Microsoft #zerocarbon #Datacenters #Energysources #DataCenterDesign",Neutral
3871,1.44551E+18,Will your next mouse be recycled plastic resins that have been recovered from the ocean? Possibly. Take a look. https://t.co/q9J94bGIsF #IoT #sustainability #AI #5G #cloud #edge #futureofwork #digitaltransformation #green #ecosystem #environmental #circularworld @SABIC @Microsoft https://t.co/qBklOqspxb,Positive
2781,1.38708E+18,"This #EarthDay, there was no conversation bigger than the carbon conversation. Changing how global supply chains are sourced and managed is key to CO2 reduction. If you missed our panel with @Facebook, @Microsoft, @Genpact and @NoodleAI, watch on demand: https://t.co/4EATYixuHb https://t.co/YO28Apbk0l",Positive
2587,1.38666E+18,"“The strongest net-zero targets, like the one set by @Microsoft, go beyond a company’s own operations and address its broader impacts on climate and society.” #climatechange #sustainability #responsibility #ESG https://t.co/ZbWM2xz3T6",Positive
1586,1.32595E+18,Neal Meldrum joins me tomorrow to talk the importance of a strong supply chain for smart manufacturers. Tune in at 12:15 pm CT to learn more. https://t.co/ykUbRecoZO #TPSS #IoT #sustainability #AI #5G #cloud #edge #manufacturing #PeggySmedley #MicrosoftInfluencer .@Microsoft https://t.co/xFRYntc8bR,Neutral
2233,1.3602E+18,@Microsoft is focusing on the climate crisis and has published an in-depth report in this context. We are very proud that @madaster is mentioned as a #circular #tool in their report (page 51): https://t.co/QOHsCmBIKE #CircularEconomy #Sustainablity #MaterialMatters https://t.co/Fg9jRzazV7,Positive
1460,1.31309E+18,"#Blockchain_Technology_in_The_Energy_Sector Market Worth $10,287 Million By 2026
Read More @ https://t.co/53HiZbw2qo
#Energy  #Power #Utilities  #Blockchain #Technology #Market #size #ICT @Oracle @Microsoft @IBMCSC https://t.co/3kEnF10WaB",Neutral
1745,1.33843E+18,"🔋 Tech for Sustainability

We're now LIVE with @ellenmaike from @Microsoft discussing how tech can enable organisations to be more sustainable.

#Microsoft #sustainable #sustainability #tech #innovation https://t.co/611m4zgBTd",Positive
2238,1.36246E+18,"@BradSmi @Microsoft That's all very well; but have you considered your impact on the total #death_rate ? That's important to the #climate change crisis, because #CH4 (#methane) is 27 times more insulating, as a #greenhouse_gas, than #CO2 (#carbon_dioxide) on a ""PPM"" scale &amp; 62 times, per-#gigaTonne.",Neutral
4454,1.4809E+18,"Check out my conversation with the co-founders of @newsunroad, (@UCBerkeley) developing cloud-based technology systems designed to distribute #solarenergy ,and internet connectivity for off-grid communities around the world.@Microsoft @Meta https://t.co/LTEkb0pWog #Uganda @PGE4Me",Positive
3452,1.42602E+18,"@Microsoft Cloud announced a sustainability service that companies will be using to keep track, manage, and measure emissions. It will also help guide organizations in their next steps to keep #sustainability goals. #PowerOfMany @VentureBeat Read more:  https://t.co/mJxBs6Xwns",Positive
836,1.29616E+18,"At #MicrosoftHackathon, Customers like @Akamai joined @Microsoft employees to hack on shared #sustainability goals around corporate commitments and personal responsibility to reduce our carbon footprint. Read about their #Hackathon experience https://t.co/P5kQukxz5Z",Positive
3538,1.42875E+18,"Secondo uno studio @Microsoft, le imprese operanti nel comparto energetico possono trarre grandi benefici dall'utilizzo dell'IoT. In particolare il 63% degli intervistati evidenzia una sensibile riduzione dei costi.

rt @lindagrass0 @antgrasso_IT #IoT #Energy https://t.co/SLmPwors0u",Neutral
2566,1.36962E+18,Excellent to see @Chevron joining forces with @Microsoft and investing in #CCS #CCUS #AcceleratingCCUS #bioenergy #zerowaste #carboncapture https://t.co/vOribFHDQO,Positive
2366,1.37004E+18,.@Total and @Microsoft today announced that they have agreed to collaborate to further digital transformation and support progress toward net zero emissions #digitaltransformation #innovation #data #technology #netzero #sustainability #microsoft #total https://t.co/EJVQIIg1bG,Positive
3222,1.40117E+18,"On #WorldEnvironmentDay, here's a look at the #ClimateAction being taken by global companies to reduce their carbon emissions by 2030.

@Microsoft @Apple @CocaCola @intel

#WorldEnvironmentDay2021 #WeNaturalists  #weareallunited #protectourplanet #green #conservation https://t.co/ct7odPFxT5",Positive
2484,1.36689E+18,"@Shell, @bakerhughesco, @Microsoft and @C3_AI fuse their expertise to accelerate the development of #artificialintelligence (#AI) for #energy sector applications. https://t.co/UtcBxKR2Z6 https://t.co/9vvbJzhltx",Positive
2739,1.38515E+18,"Schlumberger And @Microsoft Expand #Partnership To Bring Open, Enterprise-Scale #DataManagement To The #Energy Industry

@SchlumbergerBC #Solutions #Data #cloud #Technology #AI 

https://t.co/6UpmDW0N25",Positive
3166,1.40039E+18,"The next @theimpactinter1  #podcast episode is available now!

@NeuerEnergy  simplifies net zero planning, procurement and transparency in the pursuit of accessible #renewablenergy purchasing and #sustainable cities.

#AI for #socialimpact with @msft4startups and @Microsoft https://t.co/nNoc0cuIjZ",Neutral
3368,1.41857E+18,AVEVA recognised as the Winner of 2021 Microsoft Energy Partner of the Year https://t.co/E7dRtfMWCx @AVEVAGroup #Software @Microsoft #Energy #Manufacturing,Positive
3115,1.40448E+18,"Microsoft #AIforEarth will be hosting a track of talks during #FOSS4G to discuss how we can help meet the environmental #sustainability challenges of our era.
Send your proposal! 🌿🌎
Learn more info here: https://t.co/AGzEf67Z3d
#gischat #data @Microsoft https://t.co/gMMYakRBsQ",Positive
2878,1.38523E+18,"🟩 Check out a throwback #ClimateTech panel discussion on #Carbon removal and why Mitigation is not enough

The panelists from @WeForest_org , @Microsoft , @RockyMtnInst discuss how the uncomfortable topic of #Co2 removal.

Watch: https://t.co/Z5QPlqHXsS

#EarthDay",Neutral
2322,1.3726E+18,Walid Ali shares how to empower workers in #manufacturing. Listen on #TPSS. https://t.co/ueccsfWlzU #AI #IoT #sustainability #digitaltransformation #edge #cloud #PeggySmedley .@Microsoft #MicrosoftInfluencer .@Microsoft #podcast,Neutral
4035,1.46343E+18,Had a blast talking to @DickinsLouisa from @LMREPropTech and David Williams from @Microsoft on The Propcast about next generation smart buildings. Listen to the episode here: https://t.co/E8c34jpqCB #sustainability #smartbuildings #innovation,Neutral
2042,1.3461E+18,"An open source data commons + models that can support analysis that informs climate-related risk, opportunity for investors across multiple #climate scenarios... Backed by @Allianz, @amazon, @Microsoft, @SPGlobal, can OS-Climate take off? #ESG #OSS 

https://t.co/8ekzshP3TB https://t.co/zUyBmWWY3z",Positive
2623,1.38442E+18,"@Microsoft testing #LiquidCooling methods is a large step towards more #energyefficient cooling technologies. Our chassis-level #immersioncooling solution extends equipment life with 99% heat recovery, maintaining #sustainability, reliability &amp; resiliency. https://t.co/vSjiUYCsEb https://t.co/fkqV8LapZT",Neutral
396,1.26309E+18,"Looking to learn more about using AI for environmental good? Check out our blog post for @Microsoft about our team's experience with AI technology at the @MSFTReactor hack event, building a chatbot to encourage recycling

https://t.co/rG4ag8Es2h

#sustainability #aiforgood",Positive
1895,1.35473E+18,"@Microsoft report on its #sustainability stategy shows genuine commitment, with short term tangible actions/investment coupled with long term vision &amp; initiatives across its entire value chain🙏👏 https://t.co/ZbPYkjb5pr",Positive
3804,1.45371E+18,"You can manage what you can measure, and when organizations start measuring their carbon emissions better, they can take better actions to make net zero happen sooner.

@Microsoft @COP26 
#Sustainability https://t.co/DKyaN0Ga63",Positive
1113,1.31078E+18,"@Microsoft and @Telstra have teamed up to drive transformative operating models and reduce emissions in Australia: https://t.co/a86BWGTNeb

#microsoft #collaboration #environment https://t.co/OIURzIvr2G",Positive
4094,1.45643E+18,"I'm proud to see Grupo Bimbo, a #Mexican-American company, being part of the world's #sustainability efforts and being powered by @Microsoft.

#Bimbo #Microsoft #Microsoft365 https://t.co/TU1riDkqsE",Positive
